0	yes	84978
1	no	82516
2	1	12540
3	2	12215
4	white	8916
5	3	6536
6	blue	5455
7	red	5201
8	black	5066
9	0	4977
10	4	4118
11	brown	3814
12	green	3750
13	yellow	2792
14	5	2367
15	gray	2113
16	nothing	1814
17	right	1766
18	frisbee	1641
19	baseball	1597
20	left	1565
21	none	1563
22	tennis	1502
23	6	1455
24	wood	1449
25	orange	1425
26	bathroom	1230
27	pizza	1203
28	pink	1202
29	kitchen	1093
30	10	981
31	7	938
32	cat	933
33	8	911
34	dog	890
35	water	888
36	man	885
37	skateboarding	884
38	grass	879
39	skiing	866
40	kite	793
41	silver	773
42	black and white	766
43	surfing	762
44	horse	708
45	living room	702
46	skateboard	701
47	phone	697
48	snow	641
49	wii	636
50	giraffe	636
51	woman	632
52	standing	627
53	surfboard	622
54	eating	607
55	cake	601
56	food	599
57	apple	586
58	sunny	584
59	broccoli	572
60	table	564
61	hat	557
62	stop	556
63	purple	546
64	laptop	544
65	elephant	539
66	12	527
67	sheep	520
68	9	516
69	snowboarding	510
70	train	505
71	beach	497
72	motorcycle	490
73	soccer	483
74	banana	475
75	bus	474
76	cow	458
77	male	455
78	trees	454
79	walking	443
80	umbrella	442
81	winter	437
82	20	435
83	wine	432
84	sitting	420
85	flowers	418
86	bear	417
87	camera	415
88	female	413
89	tile	407
90	metal	400
91	clear	400
92	tan	396
93	many	384
94	outside	384
95	brick	383
96	car	377
97	plane	365
98	11	364
99	sandwich	361
100	donut	359
101	summer	355
102	night	349
103	bananas	347
104	bed	344
105	down	343
106	cloudy	343
107	zebra	342
108	hot dog	341
109	bench	341
110	wall	340
111	cheese	334
112	bird	325
113	fence	325
114	plate	322
115	bedroom	322
116	kites	320
117	tv	311
118	tree	309
119	fork	308
120	people	306
121	helmet	306
122	15	306
123	sand	299
124	bat	299
125	horses	298
126	beer	294
127	red and white	293
128	skis	292
129	boat	292
130	chair	289
131	birthday	288
132	bike	288
133	street	284
134	cows	280
135	couch	277
136	truck	268
137	tennis racket	268
138	coffee	268
139	up	267
140	floor	266
141	afternoon	263
142	building	263
143	dirt	261
144	glass	260
145	square	259
146	zoo	257
147	suitcase	257
148	25	254
149	concrete	252
150	airport	252
151	snowboard	251
152	stripes	247
153	nike	246
154	boy	246
155	13	243
156	teddy bear	240
157	ball	240
158	ocean	239
159	fruit	238
160	usa	237
161	no one	237
162	city	234
163	playing wii	234
164	knife	231
165	round	231
166	girl	228
167	airplane	224
168	english	221
169	plastic	221
170	carrots	221
171	tie	219
172	christmas	217
173	ground	217
174	blonde	217
175	old	215
176	toilet	215
177	flying kite	214
178	blue and white	211
179	oak	210
180	glasses	209
181	open	209
182	scissors	205
183	chinese	205
184	toothbrush	204
185	day	204
186	overcast	203
187	paper	202
188	donuts	202
189	remote	200
190	sidewalk	199
191	africa	198
192	chicken	197
193	fall	196
194	30	195
195	wii remote	194
196	clock	193
197	cold	191
198	evening	190
199	park	189
200	breakfast	188
201	cooking	187
202	window	186
203	chocolate	186
204	dell	186
205	stone	186
206	mountains	185
207	shirt	184
208	picture	184
209	plaid	184
210	office	182
211	cell phone	182
212	lettuce	182
213	light	181
214	palm	181
215	sun	179
216	vegetables	179
217	apples	179
218	mirror	179
219	50	178
220	mountain	178
221	field	177
222	clouds	176
223	restaurant	176
224	14	176
225	rectangle	174
226	elephants	174
227	ski poles	174
228	tomato	173
229	spoon	173
230	solid	172
231	daytime	169
232	nowhere	168
233	person	168
234	sleeping	167
235	carpet	166
236	sunglasses	166
237	sky	165
238	birds	165
239	unknown	165
240	fire hydrant	164
241	computer	163
242	noon	162
243	short	161
244	happy	159
245	counter	159
246	closed	158
247	fish	157
248	wedding	157
249	shorts	156
250	american	156
251	wetsuit	156
252	leaves	155
253	oranges	154
254	desk	154
255	small	154
256	salad	151
257	16	151
258	house	150
259	on table	148
260	england	147
261	sign	145
262	dinner	142
263	microwave	142
264	home	141
265	lot	141
266	police	141
267	color	141
268	passenger	140
269	backpack	139
270	100	139
271	luggage	138
272	resting	137
273	milk	137
274	very	136
275	both	136
276	asian	136
277	inside	135
278	carrot	134
279	brown and white	134
280	pepperoni	134
281	morning	133
282	london	133
283	jeans	133
284	zebras	132
285	playing tennis	132
286	circle	132
287	glove	132
288	hair	132
289	pine	131
290	sink	131
291	catcher	130
292	24	130
293	bowl	130
294	graffiti	130
295	beige	129
296	rainbow	129
297	bag	128
298	towel	127
299	vase	127
300	spinach	126
301	floral	126
302	giraffes	126
303	playing	126
304	books	126
305	safety	125
306	brushing teeth	124
307	hay	123
308	bicycle	123
309	box	123
310	soup	123
311	wii controller	123
312	watch	122
313	gold	122
314	refrigerator	121
315	racket	121
316	rain	121
317	road	121
318	flower	120
319	child	120
320	talking on phone	119
321	spring	118
322	blanket	118
323	jacket	117
324	baby	116
325	on wall	115
326	real	114
327	middle	114
328	bread	113
329	flying	111
330	motorcycles	110
331	china	110
332	windows	110
333	adidas	110
334	neither	109
335	drinking	109
336	wilson	108
337	electric	108
338	background	108
339	on	107
340	in air	107
341	striped	107
342	sneakers	107
343	lights	107
344	rocks	106
345	new york	106
346	18	104
347	church	104
348	shoes	103
349	roses	103
350	bridge	103
351	rainy	103
352	hand	100
353	mouse	100
354	checkered	100
355	smiling	100
356	cars	98
357	young	98
358	gas	98
359	ketchup	98
360	kite flying	98
361	sandals	98
362	playing frisbee	98
363	book	98
364	lunch	97
365	white and blue	97
366	triangle	97
367	umbrellas	97
368	leather	97
369	lab	96
370	in water	96
371	keyboard	96
372	talking	96
373	controller	96
374	pole	95
375	collar	95
376	wire	94
377	texting	94
378	coca cola	94
379	seagull	93
380	batter	93
381	pitcher	92
382	grazing	92
383	tabby	92
384	dessert	92
385	peppers	91
386	heart	91
387	umpire	91
388	shadow	90
389	posing	90
390	goggles	90
391	taking off	90
392	plant	90
393	hot dogs	89
394	stove	89
395	photographer	89
396	sunset	89
397	large	88
398	lamp	88
399	canada	88
400	rope	88
401	good	87
402	clothes	87
403	reading	87
404	rock	87
405	forward	86
406	surfboards	86
407	rug	85
408	double decker	85
409	head	85
410	purse	84
411	lake	84
412	river	83
413	electricity	83
414	train station	83
415	17	83
416	off	82
417	tennis court	82
418	oven	82
419	tracks	81
420	front	81
421	straight	81
422	bears	80
423	boots	80
424	jumping	80
425	on left	80
426	parking	79
427	soda	79
428	door	79
429	long	79
430	gloves	78
431	meat	78
432	lemon	78
433	pictures	77
434	top	77
435	jet	77
436	clean	77
437	toilet paper	77
438	branch	76
439	shade	76
440	on ground	76
441	olives	76
442	cup	76
443	ceramic	76
444	hotel	76
445	basket	75
446	decoration	75
447	adult	75
448	shelf	75
449	oval	74
450	rose	74
451	new	74
452	taking picture	73
453	water skiing	73
454	red and blue	73
455	ford	73
456	paint	73
457	calm	73
458	indoors	73
459	parking lot	72
460	running	72
461	downhill	72
462	van	72
463	parking meter	72
464	skate park	72
465	warm	72
466	vanilla	71
467	mustard	71
468	delta	71
469	on plate	71
470	north	70
471	cutting board	70
472	flag	70
473	stop sign	70
474	landing	70
475	red and yellow	69
476	modern	69
477	school	69
478	fries	69
479	40	69
480	boats	69
481	hot	69
482	cargo	68
483	playing baseball	68
484	tomatoes	68
485	bottom	67
486	200	67
487	rice	67
488	wind	67
489	dining room	67
490	daisy	66
491	smoke	66
492	blinds	66
493	turkey	66
494	beef	65
495	riding	65
496	asphalt	65
497	united	65
498	tea	64
499	red and black	64
500	batting	64
501	scarf	64
502	21	64
503	guitar	64
504	pillow	64
505	ceiling	63
506	orange juice	63
507	work	63
508	protection	63
509	away	63
510	laying down	63
511	necklace	62
512	pepsi	62
513	star	62
514	bottle	62
515	raining	62
516	ponytail	62
517	swimming	62
518	trash can	62
519	green and white	62
520	ham	62
521	men	62
522	tennis ball	62
523	blue and yellow	61
524	strawberry	61
525	clay	61
526	headband	61
527	urban	60
528	strawberries	60
529	flying kites	60
530	samsung	60
531	dogs	60
532	outdoors	60
533	sausage	60
534	watching	60
535	a	59
536	ramp	59
537	2 feet	59
538	toy	59
539	steam	59
540	wine glass	59
541	bikes	59
542	yellow and blue	58
543	fishing	58
544	planes	58
545	suit	58
546	go	58
547	fan	58
548	steel	58
549	on desk	58
550	blender	58
551	orange and white	57
552	fridge	57
553	slow	57
554	fire	57
555	tower	57
556	ski	57
557	granite	57
558	one way	56
559	bracelet	56
560	wooden	56
561	skateboarder	56
562	helmets	56
563	diamond	56
564	human	56
565	air	56
566	carriage	56
567	dirty	55
568	wild	55
569	handle	55
570	smile	55
571	bacon	55
572	ice cream	55
573	above	55
574	white and black	55
575	india	55
576	dusk	54
577	skateboards	54
578	hats	54
579	white and red	54
580	military	54
581	polo	54
582	cutting	53
583	hit ball	53
584	dry	53
585	plants	53
586	marble	53
587	parasailing	52
588	back	52
589	sugar	52
590	octagon	52
591	clock tower	52
592	22	52
593	honda	51
594	store	51
595	cotton	51
596	mercedes	51
597	ducks	51
598	market	51
599	apartment	51
600	trash	51
601	collie	51
602	sweater	50
603	p	50
604	dress	50
605	full	50
606	candles	50
607	napkin	50
608	grapes	50
609	on bed	50
610	19	50
611	tulips	50
612	sparrow	50
613	dodgers	50
614	terrier	50
615	shower	49
616	no parking	49
617	catching	49
618	chairs	49
619	farm	49
620	dunkin donuts	49
621	america	49
622	23	49
623	27	49
624	onions	48
625	fork and knife	48
626	parade	48
627	united states	48
628	flip flops	48
629	east	48
630	bricks	48
631	poles	47
632	party	47
633	parrot	47
634	beard	47
635	football	47
636	stainless steel	47
637	big	47
638	polar	47
639	coke	47
640	butter	46
641	cross	46
642	parked	46
643	cloth	46
644	plain	46
645	cowboy	46
646	pasta	46
647	headphones	46
648	at camera	46
649	pot	46
650	cutting cake	46
651	gray and white	46
652	high	46
653	chef	45
654	transportation	45
655	reflection	45
656	basketball	45
657	pen	45
658	duck	45
659	28	45
660	harley	45
661	stairs	44
662	low	44
663	ski lift	44
664	game	44
665	boston	44
666	owl	44
667	balance	44
668	all	44
669	sauce	44
670	38	44
671	dock	43
672	green and yellow	43
673	eggs	43
674	surfer	43
675	potatoes	43
676	35	43
677	big ben	43
678	waves	43
679	medium	43
680	b	43
681	polar bear	43
682	bakery	43
683	straw	43
684	bar	43
685	bicycles	43
686	fedora	43
687	curtain	43
688	fedex	43
689	bow	42
690	business	42
691	bmw	42
692	public	42
693	german shepherd	42
694	soccer ball	42
695	sad	42
696	face	42
697	hands	42
698	baseball bat	42
699	asia	42
700	france	41
701	twin	41
702	pepper	41
703	red and green	41
704	pug	41
705	air canada	41
706	10 feet	41
707	sandwiches	41
708	seagulls	41
709	surf	41
710	jump	41
711	african	41
712	parsley	41
713	ring	40
714	juice	40
715	w	40
716	laying	40
717	pan	40
718	nighttime	40
719	scooter	40
720	3 feet	40
721	german	40
722	tray	40
723	fire truck	40
724	cabinet	40
725	soap	40
726	cats	40
727	painting	40
728	art	40
729	pigeon	40
730	on counter	39
731	italy	39
732	on sidewalk	39
733	chain link	39
734	white and brown	39
735	porcelain	39
736	sprinkles	39
737	chopsticks	39
738	japan	39
739	typing	39
740	station	39
741	suv	39
742	moving	39
743	mushrooms	39
744	bandana	39
745	i don't know	39
746	pants	39
747	cement	39
748	stuffed animal	39
749	hydrant	39
750	bowling	39
751	frosting	39
752	cumulus	38
753	toyota	38
754	driving	38
755	sailboat	38
756	south	38
757	indian	38
758	lighthouse	38
759	working	38
760	swan	38
761	towels	38
762	magnets	38
763	cart	38
764	buildings	38
765	eagle	37
766	roof	37
767	little	37
768	forest	37
769	tall	37
770	multi	37
771	wool	37
772	fake	37
773	chicago	37
774	paddle	37
775	kia	37
776	behind	37
777	waiting	37
778	tag	36
779	55	36
780	yellow and red	36
781	steak	36
782	serving	36
783	in bowl	36
784	fast	36
785	natural	36
786	downtown	36
787	golden retriever	36
788	family	36
789	c	36
790	red white and blue	36
791	visor	36
792	west	36
793	starbucks	36
794	california	36
795	pork	36
796	crosswalk	35
797	signs	35
798	45	35
799	mozzarella	35
800	dark	35
801	women	35
802	sunlight	35
803	italian	35
804	runway	35
805	walk	35
806	serve	35
807	mcdonald's	35
808	playing game	35
809	sony	35
810	queen	35
811	giants	35
812	butterfly	35
813	it's not	35
814	bags	35
815	traffic	35
816	bun	34
817	teddy bears	34
818	curtains	34
819	kiwi	34
820	museum	34
821	commercial	34
822	on floor	34
823	cigarette	34
824	vest	34
825	harley davidson	34
826	fireplace	34
827	calico	34
828	roman	34
829	on right	34
830	basil	34
831	navy	34
832	shoe	34
833	cleaning	34
834	krispy kreme	34
835	26	34
836	bulldog	34
837	net	33
838	skirt	33
839	poodle	33
840	microphone	33
841	black and red	33
842	halloween	33
843	kids	33
844	phones	33
845	watching tv	33
846	san francisco	33
847	very tall	33
848	finch	33
849	pickle	33
850	animals	33
851	emirates	33
852	desert	33
853	egg	33
854	tank top	33
855	watermelon	32
856	tennis rackets	32
857	black and yellow	32
858	bus stop	32
859	shallow	32
860	candle	32
861	boxes	32
862	candy	32
863	fabric	32
864	stick	32
865	cucumber	32
866	not possible	32
867	corn	32
868	monkey	32
869	baseball field	32
870	french	32
871	flags	32
872	hungry	32
873	orioles	32
874	bucket	32
875	crane	32
876	cookies	32
877	yellow and white	31
878	spanish	31
879	baseball cap	31
880	words	31
881	vertical	31
882	on building	31
883	yellow and black	31
884	broken	31
885	29	31
886	garbage	31
887	washington	31
888	gravel	31
889	siamese	31
890	toast	31
891	desktop	31
892	chihuahua	31
893	60	31
894	germany	31
895	out	31
896	wet	31
897	newspaper	31
898	cleats	31
899	t	31
900	lots	31
901	statue	31
902	smoothie	31
903	looking	31
904	north america	31
905	outdoor	30
906	apron	30
907	red sox	30
908	shrimp	30
909	boating	30
910	mask	30
911	maple	30
912	wires	30
913	private	30
914	pizza cutter	30
915	rural	30
916	pie	30
917	skier	30
918	wagon	30
919	nobody	30
920	pineapple	30
921	fun	30
922	monitor	30
923	bell	30
924	string	30
925	laptops	30
926	goat	30
927	wave	30
928	suitcases	30
929	lilies	30
930	green beans	30
931	nokia	30
932	bushes	30
933	lufthansa	30
934	jeep	30
935	brush	30
936	hair dryer	29
937	grill	29
938	racing	29
939	tiger	29
940	hp	29
941	on street	29
942	on tracks	29
943	stuffed animals	29
944	empty	29
945	softball	29
946	beans	29
947	gothic	29
948	2010	29
949	bottles	29
950	pillows	29
951	beanie	29
952	uphill	29
953	catching frisbee	29
954	cone	29
955	europe	29
956	french fries	29
957	saddle	29
958	tennis player	29
959	pelican	29
960	library	29
961	log	28
962	railing	28
963	children	28
964	air force	28
965	cherry	28
966	oil	28
967	foreground	28
968	plaster	28
969	cones	28
970	bush	28
971	34	28
972	tired	28
973	white and gray	28
974	cross country	28
975	mutt	28
976	thin	28
977	tattoo	28
978	fur	28
979	in front	28
980	regular	28
981	foil	28
982	country	28
983	reins	28
984	subway	28
985	snowy	28
986	garage	28
987	chips	28
988	town	27
989	one on right	27
990	friend	27
991	squares	27
992	engine	27
993	ladder	27
994	drink	27
995	hello kitty	27
996	traveling	27
997	dugout	27
998	peace	27
999	yamaha	27
1000	<unk>	rest
